date,open,high,low,close,adj_close,volume,div,split
2025-03-01,180.880005,181.399994,168.839996,173.229996,170.957123,190015000,,
2025-04-01,173.000000,175.389999,150.350006,169.139999,167.722549,279949200,,
2025-05-01,169.139999,180.179993,168.479996,176.429993,174.951447,165453700,,
2025-06-01,176.070007,182.029999,174.270004,181.740005,180.216965,215198300,,
2025-07-01,181.300003,187.839996,180.559998,183.630005,182.834183,264768700,,
2025-08-01,182.259995,189.990005,179.940002,188.619995,187.802551,245826500,,
2025-09-01,186.740005,190.539993,185.949997,189.699997,188.877869,299101800,,
2025-10-01,189.270004,190.419998,189.270004,190.130005,190.130005,10806400,,
2025-10-02,190.199997,190.949997,189.699997,190.580002,190.580002,12839600,,
2025-10-03,190.910004,192.300003,190.889999,191.250000,191.250000,15326900,,
2025-10-06,192.100006,192.100006,190.889999,191.190002,191.190002,10695400,,
2025-10-07,191.630005,191.910004,189.970001,190.350006,190.350006,13431800,,
2025-10-08,190.589996,191.270004,189.839996,190.970001,190.970001,11800200,,
2025-10-09,191.110001,191.309998,189.080002,189.389999,189.389999,12641800,,
2025-10-10,189.589996,190.009995,185.089996,185.119995,185.119995,40484500,,
2025-10-13,186.429993,187.539993,186.100006,186.919998,186.919998,16088800,,
2025-10-14,185.550003,189.300003,185.419998,188.470001,188.470001,17544300,,
2025-10-15,189.399994,190.500000,187.429993,188.850006,188.850006,11078500,,
2025-10-16,189.220001,189.460007,186.429993,187.059998,187.059998,20569900,,
2025-10-17,187.039993,188.369995,186.839996,188.009995,188.009995,21042200,,
2025-10-20,189.020004,190.160004,189.000000,189.889999,189.889999,9171600,,
2025-10-21,189.860001,191.330002,189.630005,190.759995,190.759995,9444800,,
2025-10-22,190.839996,191.119995,189.160004,189.839996,189.839996,15088600,,
2025-10-23,190.119995,191.089996,189.580002,190.740005,190.740005,9809400,,
2025-10-24,192.110001,192.220001,191.179993,191.259995,191.259995,13012000,,
2025-10-27,192.229996,192.330002,191.529999,192.110001,192.110001,10311100,,
2025-10-28,191.759995,191.759995,190.350006,190.460007,190.460007,12596700,,
2025-10-29,189.850006,190.130005,187.710007,188.330002,188.330002,25832400,,
2025-10-30,187.509995,189.490005,187.419998,187.520004,187.520004,16213800,,
2025-10-31,187.110001,188.479996,186.860001,187.929993,187.929993,14994200,,
